d_cloud_cm,sigma_cloud_mm,d_target_cm,d_grain_um,m_grain_mg,m_launch_mg,area_ratio,eps,peak_areal_density_kg_m2,N_grains_total,N_grains_on_target,poisson_cv,averaging_valid
5,10.2137,1,200,0.0880065,5,25,0.112924,0.00762828,56.814,6.41567,0.394802,False
5,10.2137,1,200,0.0880065,50,25,0.112924,0.0762828,568.14,64.1567,0.124847,False
5,10.2137,1,200,0.0880065,500,25,0.112924,0.762828,5681.4,641.567,0.0394802,True
5,10.2137,1,200,0.0880065,3000,25,0.112924,4.57697,34088.4,3849.4,0.0161177,True
5,10.2137,1,200,0.0880065,10000,25,0.112924,15.2566,113628,12831.3,0.00882804,True
5,10.2137,1,450,1.00245,0.5,25,0.112924,0.000762828,0.498779,0.0563241,4.2136,False
5,10.2137,1,450,1.00245,5,25,0.112924,0.00762828,4.98779,0.563241,1.33246,False
5,10.2137,1,450,1.00245,50,25,0.112924,0.0762828,49.8779,5.63241,0.42136,False
5,10.2137,1,450,1.00245,500,25,0.112924,0.762828,498.779,56.3241,0.133246,False
5,10.2137,1,450,1.00245,3000,25,0.112924,4.57697,2992.67,337.945,0.0543973,True
5,10.2137,1,450,1.00245,10000,25,0.112924,15.2566,9975.57,1126.48,0.0297946,True
5,10.2137,1,1000,11.0008,0.5,25,0.112924,0.000762828,0.0454512,0.00513253,13.9583,False
5,10.2137,1,1000,11.0008,5,25,0.112924,0.00762828,0.454512,0.0513253,4.41402,False
5,10.2137,1,1000,11.0008,50,25,0.112924,0.0762828,4.54512,0.513253,1.39583,False
5,10.2137,1,1000,11.0008,500,25,0.112924,0.762828,45.4512,5.13253,0.441402,False
5,10.2137,1,1000,11.0008,3000,25,0.112924,4.57697,272.707,30.7952,0.180202,False
5,10.2137,1,1000,11.0008,10000,25,0.112924,15.2566,909.024,102.651,0.0987004,True
5,10.2137,1,2000,88.0065,0.5,25,0.112924,0.000762828,0.0056814,0.000641567,39.4802,False
5,10.2137,1,2000,88.0065,5,25,0.112924,0.00762828,0.056814,0.00641567,12.4847,False
5,10.2137,1,2000,88.0065,50,25,0.112924,0.0762828,0.56814,0.0641567,3.94802,False
5,10.2137,1,2000,88.0065,500,25,0.112924,0.762828,5.6814,0.641567,1.24847,False
5,10.2137,1,2000,88.0065,3000,25,0.112924,4.57697,34.0884,3.8494,0.509687,False
5,10.2137,1,2000,88.0065,10000,25,0.112924,15.2566,113.628,12.8313,0.279167,False
5,10.2137,2,50,0.0013751,0.5,6.25,0.380783,0.000762828,363.61,138.456,0.0849853,True
5,10.2137,2,50,0.0013751,5,6.25,0.380783,0.00762828,3636.1,1384.56,0.0268747,True
5,10.2137,2,50,0.0013751,50,6.25,0.380783,0.0762828,36361,13845.6,0.00849853,True
5,10.2137,2,50,0.0013751,500,6.25,0.380783,0.762828,363610,138456,0.00268747,True
5,10.2137,2,50,0.0013751,3000,6.25,0.380783,4.57697,2.18166e+06,830737,0.00109716,True
5,10.2137,2,50,0.0013751,10000,6.25,0.380783,15.2566,7.27219e+06,2.76912e+06,0.000600937,True
5,10.2137,2,100,0.0110008,0.5,6.25,0.380783,0.000762828,45.4512,17.307,0.240375,False
5,10.2137,2,100,0.0110008,5,6.25,0.380783,0.00762828,454.512,173.07,0.0760132,True
5,10.2137,2,100,0.0110008,50,6.25,0.380783,0.0762828,4545.12,1730.7,0.0240375,True
5,10.2137,2,100,0.0110008,500,6.25,0.380783,0.762828,45451.2,17307,0.00760132,True
5,10.2137,2,100,0.0110008,3000,6.25,0.380783,4.57697,272707,103842,0.00310322,True
5,10.2137,2,100,0.0110008,10000,6.25,0.380783,15.2566,909024,346140,0.00169971,True
5,10.2137,2,200,0.0880065,0.5,6.25,0.380783,0.000762828,5.6814,2.16338,0.679882,False
5,10.2137,2,200,0.0880065,5,6.25,0.380783,0.00762828,56.814,21.6338,0.214998,False
5,10.2137,2,200,0.0880065,50,6.25,0.380783,0.0762828,568.14,216.338,0.0679882,True
5,10.2137,2,200,0.0880065,500,6.25,0.380783,0.762828,5681.4,2163.38,0.0214998,True
5,10.2137,2,200,0.0880065,3000,6.25,0.380783,4.57697,34088.4,12980.3,0.00877724,True
5,10.2137,2,200,0.0880065,10000,6.25,0.380783,15.2566,113628,43267.6,0.00480749,True
5,10.2137,2,450,1.00245,0.5,6.25,0.380783,0.000762828,0.498779,0.189926,2.2946,False
5,10.2137,2,450,1.00245,5,6.25,0.380783,0.00762828,4.98779,1.89926,0.725617,False
5,10.2137,2,450,1.00245,50,6.25,0.380783,0.0762828,49.8779,18.9926,0.22946,False
