d_debris_cm,h_km,beta,miss_budget,sigma_miss_m,material,launch,n_engagements_life,C_platform,m_on_target_g,mass_penalty,m_shot_g,n_kicks,n_shots,cost_material,cost_launch,cost_energy,cost_platform,cost_per_object,cost_per_kg
1,400,2.5,20 mm budget,0.02,Re (2025 avg),3000 dedicated,1000,5e+08,0.105468,200.29,21.1242,1,1.11111,58.3497,70.414,0.000312267,500000,500129,3.53769e+08
1,400,2.5,20 mm budget,0.02,Re (2025 avg),3000 dedicated,10000,5e+07,0.105468,200.29,21.1242,1,1.11111,58.3497,70.414,0.000312267,5000,5128.76,3.62786e+06
1,400,2.5,20 mm budget,0.02,Re (2025 avg),3000 dedicated,10000,5e+08,0.105468,200.29,21.1242,1,1.11111,58.3497,70.414,0.000312267,50000,50128.8,3.54588e+07
1,400,2.5,20 mm budget,0.02,Re (2025 avg),3000 dedicated,100000,5e+07,0.105468,200.29,21.1242,1,1.11111,58.3497,70.414,0.000312267,500,628.764,444760
1,400,2.5,20 mm budget,0.02,Re (2025 avg),3000 dedicated,100000,5e+08,0.105468,200.29,21.1242,1,1.11111,58.3497,70.414,0.000312267,5000,5128.76,3.62786e+06
1,400,2.5,20 mm budget,0.02,Re (2025 avg),7000 rideshare,1000,5e+07,0.105468,200.29,21.1242,1,1.11111,58.3497,164.299,0.000312267,50000,50222.6,3.55253e+07
1,400,2.5,20 mm budget,0.02,Re (2025 avg),7000 rideshare,1000,5e+08,0.105468,200.29,21.1242,1,1.11111,58.3497,164.299,0.000312267,500000,500223,3.53835e+08
1,400,2.5,20 mm budget,0.02,Re (2025 avg),7000 rideshare,10000,5e+07,0.105468,200.29,21.1242,1,1.11111,58.3497,164.299,0.000312267,5000,5222.65,3.69427e+06
1,400,2.5,20 mm budget,0.02,Re (2025 avg),7000 rideshare,10000,5e+08,0.105468,200.29,21.1242,1,1.11111,58.3497,164.299,0.000312267,50000,50222.6,3.55253e+07
1,400,2.5,20 mm budget,0.02,Re (2025 avg),7000 rideshare,100000,5e+07,0.105468,200.29,21.1242,1,1.11111,58.3497,164.299,0.000312267,500,722.649,511170
1,400,2.5,20 mm budget,0.02,Re (2025 avg),7000 rideshare,100000,5e+08,0.105468,200.29,21.1242,1,1.11111,58.3497,164.299,0.000312267,5000,5222.65,3.69427e+06
1,400,2.5,20 mm budget,0.02,W (upper),3000 dedicated,1000,5e+07,0.105468,200.29,21.1242,1,1.11111,2.34713,70.414,0.000312267,50000,50072.8,3.54192e+07
