m_p_g,v_m_s,eta,l_barrel_m,n_stages,E_kin_J,E_elec_J,m_cap_kg,m_cu_kg,l_wire_m,wire_awg,energy_cost_usd
1000,400,0.4,0.815773,3,80000,200000,133.333,0.760073,25.6283,12,0.00555556
1000,400,0.5,0.815773,3,80000,160000,106.667,0.760073,25.6283,12,0.00444444
1000,619,0.3,1.95358,7,191580,638602,425.734,1.82019,61.3734,12,0.0177389
1000,619,0.4,1.95358,7,191580,478951,319.301,1.82019,61.3734,12,0.0133042
1000,619,0.5,1.95358,7,191580,383161,255.441,1.82019,61.3734,12,0.0106434
1000,1000,0.3,5.09858,17,500000,1.66667e+06,1111.11,4.75045,160.177,12,0.0462963
1000,1000,0.4,5.09858,17,500000,1.25e+06,833.333,4.75045,160.177,12,0.0347222
1000,1000,0.5,5.09858,17,500000,1e+06,666.667,4.75045,160.177,12,0.0277778
1000,2000,0.3,20.3943,68,2e+06,6.66667e+06,4444.44,19.0018,640.707,12,0.185185
1000,2000,0.4,20.3943,68,2e+06,5e+06,3333.33,19.0018,640.707,12,0.138889
1000,2000,0.5,20.3943,68,2e+06,4e+06,2666.67,19.0018,640.707,12,0.111111
1000,3000,0.3,45.8872,153,4.5e+06,1.5e+07,10000,42.7541,1441.59,12,0.416667
1000,3000,0.4,45.8872,153,4.5e+06,1.125e+07,7500,42.7541,1441.59,12,0.3125
1000,3000,0.5,45.8872,153,4.5e+06,9e+06,6000,42.7541,1441.59,12,0.25
1000,5000,0.3,127.465,425,1.25e+07,4.16667e+07,27777.8,118.761,4004.42,12,1.15741
1000,5000,0.4,127.465,425,1.25e+07,3.125e+07,20833.3,118.761,4004.42,12,0.868056
1000,5000,0.5,127.465,425,1.25e+07,2.5e+07,16666.7,118.761,4004.42,12,0.694444
