h_km,beta,v_rel_m_s,Es_c_kJ_kg,m_p_g,Es_kJ_kg,catastrophic,M_eff_kg,N_gt_1cm_SBM,N_gt_1mm_SBM,ejecta_g_gault,crater_volume_mm3,ejecta_g_energy_bound,ejecta_frac_of_target,KE_J
700,1.5,619,30,0.164581,22.3033,False,0.000101876,0.266718,13.679,1.01876,63.061,0.170265,0.120438,31.5305
700,1.5,619,50,0.164581,22.3033,False,0.000101876,0.266718,13.679,1.01876,63.061,0.170265,0.120438,31.5305
700,1.5,619,40,0.164581,22.3033,False,0.000101876,0.266718,13.679,1.01876,63.061,0.170265,0.120438,31.5305
700,1.5,800,30,0.127345,28.8249,False,0.000101876,0.266718,13.679,1.01876,81.5005,0.220051,0.155655,40.7503
700,1.5,800,50,0.127345,28.8249,False,0.000101876,0.266718,13.679,1.01876,81.5005,0.220051,0.155655,40.7503
700,1.5,800,40,0.127345,28.8249,False,0.000101876,0.266718,13.679,1.01876,81.5005,0.220051,0.155655,40.7503
700,1.5,1000,30,0.101876,36.0311,True,0.00151559,2.0204,103.618,1.01876,101.876,0.275064,0.194568,50.9378
700,1.5,1000,50,0.101876,36.0311,False,0.000101876,0.266718,13.679,1.01876,101.876,0.275064,0.194568,50.9378
700,1.5,1000,40,0.101876,36.0311,False,0.000101876,0.266718,13.679,1.01876,101.876,0.275064,0.194568,50.9378
700,1.5,1500,30,0.0679171,54.0467,True,0.00148163,1.98635,101.872,1.01876,152.814,0.412596,0.291852,76.4068
700,1.5,1500,50,0.0679171,54.0467,True,0.00148163,1.98635,101.872,1.01876,152.814,0.412596,0.291852,76.4068
700,1.5,1500,40,0.0679171,54.0467,True,0.00148163,1.98635,101.872,1.01876,152.814,0.412596,0.291852,76.4068
700,1.5,2000,30,0.0509378,72.0623,True,0.00146465,1.96925,100.995,1.01876,203.751,0.550129,0.389136,101.876
700,1.5,2000,50,0.0509378,72.0623,True,0.00146465,1.96925,100.995,1.01876,203.751,0.550129,0.389136,101.876
700,1.5,2000,40,0.0509378,72.0623,True,0.00146465,1.96925,100.995,1.01876,203.751,0.550129,0.389136,101.876
700,2.5,400,30,0.152814,8.64748,False,6.11254e-05,0.18183,9.32537,0.611254,24.4502,0.0660154,0.0466964,12.2251
700,2.5,400,50,0.152814,8.64748,False,6.11254e-05,0.18183,9.32537,0.611254,24.4502,0.0660154,0.0466964,12.2251
700,2.5,400,40,0.152814,8.64748,False,6.11254e-05,0.18183,9.32537,0.611254,24.4502,0.0660154,0.0466964,12.2251
700,2.5,619,30,0.0987486,13.382,False,6.11254e-05,0.18183,9.32537,0.611254,37.8366,0.102159,0.0722626,18.9183
700,2.5,619,50,0.0987486,13.382,False,6.11254e-05,0.18183,9.32537,0.611254,37.8366,0.102159,0.0722626,18.9183
700,2.5,619,40,0.0987486,13.382,False,6.11254e-05,0.18183,9.32537,0.611254,37.8366,0.102159,0.0722626,18.9183
700,2.5,800,30,0.0764068,17.295,False,6.11254e-05,0.18183,9.32537,0.611254,48.9003,0.132031,0.0933927,24.4502
700,2.5,800,50,0.0764068,17.295,False,6.11254e-05,0.18183,9.32537,0.611254,48.9003,0.132031,0.0933927,24.4502
700,2.5,800,40,0.0764068,17.295,False,6.11254e-05,0.18183,9.32537,0.611254,48.9003,0.132031,0.0933927,24.4502
700,2.5,1000,30,0.0611254,21.6187,False,6.11254e-05,0.18183,9.32537,0.611254,61.1254,0.165039,0.116741,30.5627
700,2.5,1000,50,0.0611254,21.6187,False,6.11254e-05,0.18183,9.32537,0.611254,61.1254,0.165039,0.116741,30.5627
700,2.5,1000,40,0.0611254,21.6187,False,6.11254e-05,0.18183,9.32537,0.611254,61.1254,0.165039,0.116741,30.5627
700,2.5,1500,30,0.0407503,32.428,True,0.00145447,1.95897,100.468,0.611254,91.6881,0.247558,0.175111,45.8441
700,2.5,1500,50,0.0407503,32.428,False,6.11254e-05,0.18183,9.32537,0.611254,91.6881,0.247558,0.175111,45.8441
