h_km,v_rel_m_s,R_m,tof_s,dv_T_m_s,n_rad_s,n_times_tof,sigma_cw_m,sigma_ballistic_m,cw_over_ballistic,along_track_cw_m
1000,400,1,0.0025,0.001,0.000997652,2.49413e-06,2.5e-06,2.5e-06,1,7.77623e-18
1000,400,1,0.0025,0.01,0.000997652,2.49413e-06,2.5e-05,2.5e-05,1,7.77623e-17
1000,400,1,0.0025,0.1,0.000997652,2.49413e-06,0.00025,0.00025,1,7.77623e-16
1000,400,1,0.0025,0.3,0.000997652,2.49413e-06,0.00075,0.00075,1,2.33287e-15
1000,400,1,0.0025,1,0.000997652,2.49413e-06,0.0025,0.0025,1,7.77623e-15
1000,400,1,0.0025,3,0.000997652,2.49413e-06,0.0075,0.0075,1,2.33287e-14
1000,400,5,0.0125,0.001,0.000997652,1.24707e-05,1.25e-05,1.25e-05,1,9.7198e-16
1000,400,5,0.0125,0.01,0.000997652,1.24707e-05,0.000125,0.000125,1,9.7198e-15
1000,400,5,0.0125,0.1,0.000997652,1.24707e-05,0.00125,0.00125,1,9.7198e-14
1000,400,5,0.0125,0.3,0.000997652,1.24707e-05,0.00375,0.00375,1,2.91594e-13
