d_debris_cm,solar_case,h_km,n,P_viable_design,P_viable_plan,P_viable_objcost,P_viable_useful,P_c5_cost_per_object,P_c6_remediation_value,median_t_natural_yr,P_c1_subcatastrophic,P_c2_plan_phit,P_c2_design_mass,P_c3_decay,P_c4_net_debris,P_c5_cost,P_self_disposal,median_cost_per_kg,median_cost_per_object,median_m_shot_g,median_d_miss_mm,median_t_decay_yr
10,solar_min,1000,7407,0,0,0,0,0.429729,0,10000,0.879303,0.251654,0.560146,0,0.879303,0.779398,1,43159.8,61261.4,801.688,39.5173,10000
10,solar_min,1100,7407,0,0,0,0,0.361955,0,10000,0.901715,0.246254,0.556906,0,0.901715,0.726475,1,53543.7,75419.8,819.202,39.7352,10000
10,solar_min,1200,7407,0,0,0,0,0.365465,0,10000,0.906035,0.26448,0.555016,0,0.906035,0.71905,1,52124.4,73729.9,822.241,39.9583,10000
10,nominal,400,7407,0.3548,0.177265,0.26691,0,0.516808,0,0.624484,0.818145,0.258944,0.517348,1,0.818145,0.824085,1,33462.2,47425.3,943.586,39.5114,0.0378321
10,nominal,500,7407,0.35993,0.17497,0.271095,0,0.516133,0,3.46035,0.833941,0.250574,0.517483,1,0.833941,0.821925,1,33716.2,47408.2,941.758,40.0647,0.393928
10,nominal,600,7407,0.376671,0.18253,0.2796,0,0.525719,0,15.928,0.847712,0.254084,0.524234,1,0.847712,0.828946,1,33115.8,46294.2,915.089,39.5242,2.48477
10,nominal,700,7407,0.383421,0.183745,0.287431,0.287431,0.532334,1,63.734,0.850952,0.259214,0.531659,1,0.850952,0.830431,1,32510.4,45611.4,877.744,39.5689,12.0238
10,nominal,800,7407,0,0,0,0,0.537735,0,10000,0.868233,0.258404,0.538005,0,0.868233,0.840826,1,31810.2,44759.7,878.302,39.5834,50.9112
10,nominal,900,7407,0,0,0,0,0.528689,0,10000,0.874308,0.258134,0.539895,0,0.874308,0.834346,1,32679.2,45925.6,873.014,39.944,181.237
10,nominal,1000,7407,0,0,0,0,0.427299,0,10000,0.884299,0.258539,0.554611,0,0.884299,0.779803,1,43684.8,61608.8,820.525,39.6813,10000
10,nominal,1100,7407,0,0,0,0,0.427299,0,10000,0.897664,0.260429,0.561901,0,0.897664,0.781423,1,43264.9,61163,824.169,39.8899,10000
10,nominal,1200,7407,0,0,0,0,0.36317,0,10000,0.894424,0.254624,0.54894,0,0.894424,0.734035,1,53255.3,75378.7,840.828,40.1408,10000
10,solar_max,400,7407,0.3602,0.17281,0.265155,0,0.520049,0,0.245183,0.82206,0.252059,0.525179,1,0.82206,0.826515,1,33610.8,47332.9,918.219,38.8458,0.0233626
10,solar_max,500,7407,0.367085,0.1747,0.274605,0,0.524369,0,1.05603,0.830161,0.253409,0.518564,1,0.830161,0.832051,1,32783.5,46289.8,933.322,39.7966,0.174074
10,solar_max,600,7407,0.376131,0.18064,0.282706,0,0.527339,0,3.84298,0.837181,0.250979,0.530444,1,0.837181,0.834751,1,33046.9,46210.3,906.611,39.76,0.815838
10,solar_max,700,7407,0.381261,0.174565,0.285541,0,0.518834,0,12.5076,0.861617,0.243283,0.530174,1,0.861617,0.820845,1,33617.3,47386.4,899.321,40.1243,3.16835
10,solar_max,800,7407,0.391117,0.181045,0.294316,0.294316,0.533414,1,37.3217,0.866208,0.250304,0.530984,1,0.866208,0.831781,1,31880.3,45231,893.408,39.898,10.5066
10,solar_max,900,7407,0.0457675,0.0209262,0.0328068,0.0328068,0.524909,0.147563,102.809,0.872958,0.244093,0.54111,0.147563,0.872958,0.829891,1,32993.2,46321.6,853.051,39.7535,32.0401
10,solar_max,1000,7407,0,0,0,0,0.532064,0,10000,0.886459,0.259754,0.55245,0,0.886459,0.833266,1,31939.4,45254,833.639,39.8637,90.2421
10,solar_max,1100,7407,0,0,0,0,0.429999,0,10000,0.894019,0.257324,0.556501,0,0.894019,0.775213,1,43273.2,60919.4,807.238,39.8814,10000
10,solar_max,1200,7407,0,0,0,0,0.436209,0,10000,0.90428,0.253544,0.566761,0,0.90428,0.782503,1,42939.9,60312.2,801.701,39.7543,10000
