h_km,beta,v_rel_m_s,d_debris_cm,m_t_g,m_p_min_g,m_p_design_g,f_h_g_per_g,f_h_v4_direct_g_per_g,f_ratio_v4_over_v5,Es_kJ_kg,Es_below_threshold,d_grain_Re_mm_if_single,d_grain_W_mm_if_single
500,2.5,619,2,11.3097,0.412582,0.825164,0.0729605,0.148682,2.03785,13.9778,True,4.21734,4.34214
500,2.5,619,5,176.715,6.44659,12.8932,0.0729605,0.148682,2.03785,13.9778,True,10.5433,10.8553
500,2.5,619,10,1413.72,51.5728,103.146,0.0729605,0.148682,2.03785,13.9778,True,21.0867,21.7107
500,2.5,800,0.5,0.176715,0.00498805,0.0099761,0.0564532,0.115043,2.03785,18.065,True,0.967933,0.996576
500,2.5,800,1,1.41372,0.0399044,0.0798088,0.0564532,0.115043,2.03785,18.065,True,1.93587,1.99315
500,2.5,800,2,11.3097,0.319235,0.638471,0.0564532,0.115043,2.03785,18.065,True,3.87173,3.98631
500,2.5,800,5,176.715,4.98805,9.9761,0.0564532,0.115043,2.03785,18.065,True,9.67933,9.96576
500,2.5,800,10,1413.72,39.9044,79.8088,0.0564532,0.115043,2.03785,18.065,True,19.3587,19.9315
500,2.5,1000,0.5,0.176715,0.00399044,0.00798088,0.0451626,0.0920344,2.03785,22.5813,True,0.89855,0.925139
500,2.5,1000,1,1.41372,0.0319235,0.0638471,0.0451626,0.0920344,2.03785,22.5813,True,1.7971,1.85028
500,2.5,1000,2,11.3097,0.255388,0.510777,0.0451626,0.0920344,2.03785,22.5813,True,3.5942,3.70056
500,2.5,1000,5,176.715,3.99044,7.98088,0.0451626,0.0920344,2.03785,22.5813,True,8.9855,9.25139
500,2.5,1000,10,1413.72,31.9235,63.8471,0.0451626,0.0920344,2.03785,22.5813,True,17.971,18.5028
600,1,400,0.5,0.176715,0.024399,0.0487981,0.276141,0.709845,2.57059,22.0912,True,1.64308,1.6917
600,1,400,1,1.41372,0.195192,0.390385,0.276141,0.709845,2.57059,22.0912,True,3.28616,3.38341
600,1,400,2,11.3097,1.56154,3.12308,0.276141,0.709845,2.57059,22.0912,True,6.57233,6.76682
600,1,400,5,176.715,24.399,48.7981,0.276141,0.709845,2.57059,22.0912,True,16.4308,16.917
600,1,400,10,1413.72,195.192,390.385,0.276141,0.709845,2.57059,22.0912,True,32.8616,33.8341
600,1,619,0.5,0.176715,0.0157667,0.0315335,0.178443,0.458704,2.57059,34.1862,True,1.42053,1.46256
600,1,619,1,1.41372,0.126134,0.252268,0.178443,0.458704,2.57059,34.1862,True,2.84105,2.92512
600,1,619,2,11.3097,1.00907,2.01814,0.178443,0.458704,2.57059,34.1862,True,5.6821,5.85025
600,1,619,5,176.715,15.7667,31.5335,0.178443,0.458704,2.57059,34.1862,True,14.2053,14.6256
600,1,619,10,1413.72,126.134,252.268,0.178443,0.458704,2.57059,34.1862,True,28.4105,29.2512
600,1,800,0.5,0.176715,0.0121995,0.024399,0.13807,0.354923,2.57059,44.1825,False,1.30412,1.34271
600,1,800,1,1.41372,0.0975961,0.195192,0.13807,0.354923,2.57059,44.1825,False,2.60823,2.68541
600,1,800,2,11.3097,0.780769,1.56154,0.13807,0.354923,2.57059,44.1825,False,5.21646,5.37083
600,1,800,5,176.715,12.1995,24.399,0.13807,0.354923,2.57059,44.1825,False,13.0412,13.4271
600,1,800,10,1413.72,97.5961,195.192,0.13807,0.354923,2.57059,44.1825,False,26.0823,26.8541
600,1,1000,0.5,0.176715,0.00975961,0.0195192,0.110456,0.283938,2.57059,55.2281,False,1.21063,1.24646
600,1,1000,1,1.41372,0.0780769,0.156154,0.110456,0.283938,2.57059,55.2281,False,2.42127,2.49292
600,1,1000,2,11.3097,0.624615,1.24923,0.110456,0.283938,2.57059,55.2281,False,4.84253,4.98583
600,1,1000,5,176.715,9.75961,19.5192,0.110456,0.283938,2.57059,55.2281,False,12.1063,12.4646
600,1,1000,10,1413.72,78.0769,156.154,0.110456,0.283938,2.57059,55.2281,False,24.2127,24.9292
600,1.5,400,0.5,0.176715,0.016266,0.032532,0.184094,0.47323,2.57059,14.7275,True,1.43536,1.47784
600,1.5,400,1,1.41372,0.130128,0.260256,0.184094,0.47323,2.57059,14.7275,True,2.87073,2.95568
600,1.5,400,2,11.3097,1.04103,2.08205,0.184094,0.47323,2.57059,14.7275,True,5.74146,5.91136
600,1.5,400,5,176.715,16.266,32.532,0.184094,0.47323,2.57059,14.7275,True,14.3536,14.7784
600,1.5,400,10,1413.72,130.128,260.256,0.184094,0.47323,2.57059,14.7275,True,28.7073,29.5568
600,1.5,619,0.5,0.176715,0.0105112,0.0210223,0.118962,0.305803,2.57059,22.7908,True,1.24094,1.27767
600,1.5,619,1,1.41372,0.0840893,0.168179,0.118962,0.305803,2.57059,22.7908,True,2.48189,2.55533
600,1.5,619,2,11.3097,0.672714,1.34543,0.118962,0.305803,2.57059,22.7908,True,4.96377,5.11066
600,1.5,619,5,176.715,10.5112,21.0223,0.118962,0.305803,2.57059,22.7908,True,12.4094,12.7767
600,1.5,619,10,1413.72,84.0893,168.179,0.118962,0.305803,2.57059,22.7908,True,24.8189,25.5533
600,1.5,800,0.5,0.176715,0.00813301,0.016266,0.0920469,0.236615,2.57059,29.455,True,1.13925,1.17296
600,1.5,800,1,1.41372,0.0650641,0.130128,0.0920469,0.236615,2.57059,29.455,True,2.2785,2.34592
600,1.5,800,2,11.3097,0.520513,1.04103,0.0920469,0.236615,2.57059,29.455,True,4.557,4.69185
600,1.5,800,5,176.715,8.13301,16.266,0.0920469,0.236615,2.57059,29.455,True,11.3925,11.7296
600,1.5,800,10,1413.72,65.0641,130.128,0.0920469,0.236615,2.57059,29.455,True,22.785,23.4592
600,1.5,1000,0.5,0.176715,0.00650641,0.0130128,0.0736375,0.189292,2.57059,36.8187,True,1.05759,1.08888
600,1.5,1000,1,1.41372,0.0520513,0.104103,0.0736375,0.189292,2.57059,36.8187,True,2.11517,2.17776
600,1.5,1000,2,11.3097,0.41641,0.83282,0.0736375,0.189292,2.57059,36.8187,True,4.23034,4.35553
600,1.5,1000,5,176.715,6.50641,13.0128,0.0736375,0.189292,2.57059,36.8187,True,10.5759,10.8888
600,1.5,1000,10,1413.72,52.0513,104.103,0.0736375,0.189292,2.57059,36.8187,True,21.1517,21.7776
600,2,400,0.5,0.176715,0.0121995,0.024399,0.13807,0.354923,2.57059,11.0456,True,1.30412,1.34271
600,2,400,1,1.41372,0.0975961,0.195192,0.13807,0.354923,2.57059,11.0456,True,2.60823,2.68541
600,2,400,2,11.3097,0.780769,1.56154,0.13807,0.354923,2.57059,11.0456,True,5.21646,5.37083
600,2,400,5,176.715,12.1995,24.399,0.13807,0.354923,2.57059,11.0456,True,13.0412,13.4271
600,2,400,10,1413.72,97.5961,195.192,0.13807,0.354923,2.57059,11.0456,True,26.0823,26.8541
600,2,619,0.5,0.176715,0.00788337,0.0157667,0.0892215,0.229352,2.57059,17.0931,True,1.12747,1.16084
600,2,619,1,1.41372,0.063067,0.126134,0.0892215,0.229352,2.57059,17.0931,True,2.25494,2.32167
600,2,619,2,11.3097,0.504536,1.00907,0.0892215,0.229352,2.57059,17.0931,True,4.50989,4.64334
