R_m,tau_ms,u_m_s,pointing_urad,muzzle_frac,lidar_bw,sigma_range_m,tof_s,t_go_s,sigma_pos_m,sigma_pos_snr10_m,sigma_v_m_s,a_rel_m_s2,term_vel_extrap_m,term_rel_accel_m,term_pointing_m,term_muzzle_m,term_range_m,d_miss_M1_v4_m,d_miss_M2_coorbital_m,d_miss_M3_extrapolating_m,penalty_M3,penalty_M1,M_launch_M3_g,M_launch_M1_g,p_hit_plan_M1,p_hit_plan_M3
1,0.1,50,1000,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,8.07754e-05,0.0270742,0.0619,0.00509966,0.0270927,367.541,1918.59,59.2146,309.103,0.98682,0.997462
1,0.1,50,1000,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,8.07754e-05,0.00270742,0.0619,0.00509966,0.00288733,4.17438,1918.59,0.672534,309.103,0.98682,0.999971
1,0.1,50,1000,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000807754,2.70742,0.0619,0.00516261,2.70742,3.67037e+06,1918.59,591334,309.103,0.98682,9.48555e-12
1,0.1,50,1000,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000807754,0.0270742,0.0619,0.00516261,0.0271047,367.865,1918.59,59.2667,309.103,0.98682,0.997459
1,0.1,50,1000,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000807754,0.00270742,0.0619,0.00516261,0.0029971,4.49782,1918.59,0.724644,309.103,0.98682,0.999969
1,0.1,100,50,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000161551,5.41483,0.0619,0.0100014,5.41483,1.46815e+07,1918.59,2.36533e+06,309.103,0.98682,8.09579e-45
1,0.1,100,50,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000161551,0.0541483,0.0619,0.0100014,0.0541486,1468.16,1918.59,236.536,309.103,0.98682,0.989899
1,0.1,100,50,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000161551,0.00541483,0.0619,0.0100014,0.00541748,14.6958,1918.59,2.36764,309.103,0.98682,0.999898
1,0.1,100,50,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.00161551,5.41483,0.0619,0.0101298,5.41483,1.46815e+07,1918.59,2.36534e+06,309.103,0.98682,8.09572e-45
1,0.1,100,50,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.00161551,0.0541483,0.0619,0.0101298,0.0541724,1469.46,1918.59,236.744,309.103,0.98682,0.98989
1,0.1,100,50,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.00161551,0.00541483,0.0619,0.0101298,0.00565091,15.9896,1918.59,2.57608,309.103,0.98682,0.999889
1,0.1,100,200,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000161551,5.41483,0.0619,0.0100033,5.41483,1.46815e+07,1918.59,2.36533e+06,309.103,0.98682,8.09579e-45
1,0.1,100,200,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000161551,0.0541483,0.0619,0.0100033,0.0541489,1468.18,1918.59,236.539,309.103,0.98682,0.989899
1,0.1,100,200,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000161551,0.00541483,0.0619,0.0100033,0.00542094,14.7146,1918.59,2.37067,309.103,0.98682,0.999898
1,0.1,100,200,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.00161551,5.41483,0.0619,0.0101316,5.41483,1.46815e+07,1918.59,2.36534e+06,309.103,0.98682,8.09572e-45
1,0.1,100,200,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.00161551,0.0541483,0.0619,0.0101316,0.0541728,1469.48,1918.59,236.747,309.103,0.98682,0.98989
1,0.1,100,200,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.00161551,0.00541483,0.0619,0.0101316,0.00565423,16.0084,1918.59,2.57911,309.103,0.98682,0.999889
1,0.1,100,1000,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000161551,5.41483,0.0619,0.0100512,5.41483,1.46815e+07,1918.59,2.36533e+06,309.103,0.98682,8.09577e-45
1,0.1,100,1000,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000161551,0.0541483,0.0619,0.0100512,0.0541578,1468.66,1918.59,236.616,309.103,0.98682,0.989895
1,0.1,100,1000,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000161551,0.00541483,0.0619,0.0100512,0.00550877,15.1953,1918.59,2.44811,309.103,0.98682,0.999895
1,0.1,100,1000,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.00161551,5.41483,0.0619,0.0101789,5.41483,1.46815e+07,1918.59,2.36534e+06,309.103,0.98682,8.09569e-45
1,0.1,100,1000,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.00161551,0.0541483,0.0619,0.0101789,0.0541817,1469.96,1918.59,236.825,309.103,0.98682,0.989886
1,0.1,100,1000,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.00161551,0.00541483,0.0619,0.0101789,0.00573849,16.4891,1918.59,2.65655,309.103,0.98682,0.999886
1,1,1,50,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,5e-05,1.61551e-06,0.0541483,0.619,0.00100127,0.0541484,1468.15,191859,236.534,30910.3,0.265342,0.989899
1,1,1,50,0.001,100 MHz,0.335178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,5e-05,1.61551e-06,0.000541483,0.619,0.00100127,0.000543817,0.148083,191859,0.0238577,30910.3,0.265342,0.999999
1,1,1,50,0.001,1 GHz,0.0335178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,5e-05,1.61551e-06,5.41483e-05,0.619,0.00100127,7.3925e-05,0.00273642,191859,0.000440864,30910.3,0.265342,1
1,1,1,50,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,5e-05,1.61551e-05,0.0541483,0.619,0.00100139,0.0541484,1468.15,191859,236.534,30910.3,0.265342,0.989899
1,1,1,50,0.01,100 MHz,0.335178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,5e-05,1.61551e-05,0.000541483,0.619,0.00100139,0.000544055,0.148213,191859,0.0238785,30910.3,0.265342,0.999999
1,1,1,50,0.01,1 GHz,0.0335178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,5e-05,1.61551e-05,5.41483e-05,0.619,0.00100139,7.56524e-05,0.00286579,191859,0.000461708,30910.3,0.265342,1
1,1,1,200,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,0.0002,1.61551e-06,0.0541483,0.619,0.00101982,0.0541487,1468.17,191859,236.537,30910.3,0.265342,0.989899
1,1,1,200,0.001,100 MHz,0.335178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,0.0002,1.61551e-06,0.000541483,0.619,0.00101982,0.000577267,0.16686,191859,0.0268829,30910.3,0.265342,0.999999
1,1,1,200,0.001,1 GHz,0.0335178,0.00161551,0.00261551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,4.98321e-11,1.10918e-11,0.0002,1.61551e-06,5.41483e-05,0.619,0.00101982,0.00020728,0.0215136,191859,0.00346606,30910.3,0.265342,1
